 years months days precipitation
11630 1991 11 4 0.0
11631 1991 11 5 9.6
11632 1991 11 6 7.1
11633 1991 11 7 3.8
11634 1991 11 8 0.0
11635 1991 11 9 0.4
11636 1991 11 10 0.0
11637 1991 11 11 0.0
11638 1991 11 12 0.0
11639 1991 11 13 0.0
11640 1991 11 14 0.0
11641 1991 11 15 0.0
11642 1991 11 16 0.0
11643 1991 11 17 0.0
11644 1991 11 18 0.0
11645 1991 11 19 0.0
11646 1991 11 20 0.0
11647 1991 11 21 2.2
11648 1991 11 22 0.6
11649 1991 11 23 0.0
11650 1991 11 24 0.0
11651 1991 11 25 0.0
11652 1991 11 26 0.1
11653 1991 11 27 0.0
11654 1991 11 28 0.0
11655 1991 11 29 0.0
11656 1991 11 30 0.0
11657 1991 12 1 33.6
11658 1991 12 2 12.7
11659 1991 12 3 0.0
11660 1991 12 4 0.0
11661 1991 12 5 0.0
11662 1991 12 6 0.0
11663 1991 12 7 0.0
11664 1991 12 8 0.0
11665 1991 12 9 0.0
11666 1991 12 10 0.0
11667 1991 12 11 0.0
11668 1991 12 12 0.0
11669 1991 12 13 0.0
11670 1991 12 14 0.0
11671 1991 12 15 0.0
11672 1991 12 16 0.0
11673 1991 12 17 0.0
11674 1991 12 18 0.0
11675 1991 12 19 0.0
11676 1991 12 20 0.0
11677 1991 12 21 0.0
11678 1991 12 22 0.0
11679 1991 12 23 0.0
11680 1991 12 24 0.0
11681 1991 12 25 0.0
11682 1991 12 26 0.0
11683 1991 12 27 0.0
11684 1991 12 28 0.0
11685 1991 12 29 0.0
11686 1991 12 30 0.0
11687 1991 12 31 0.0
11688 1992 1 1 0.0
11689 1992 1 2 0.0
11690 1992 1 3 0.0
11691 1992 1 4 0.0
11692 1992 1 5 0.0
11693 1992 1 6 0.0
11694 1992 1 7 0.0
11695 1992 1 8 0.0
11696 1992 1 9 0.0
11697 1992 1 10 0.0
11698 1992 1 11 0.0
11699 1992 1 12 0.0
11700 1992 1 13 0.0
11701 1992 1 14 0.0
11702 1992 1 15 0.0
11703 1992 1 16 0.0
11704 1992 1 17 0.0
11705 1992 1 18 0.0
11706 1992 1 19 0.0
11707 1992 1 20 0.0
11708 1992 1 21 0.0
11709 1992 1 22 0.0
11710 1992 1 23 0.0
11711 1992 1 24 0.0
11712 1992 1 25 0.0
11713 1992 1 26 0.0
11714 1992 1 27 0.0
11715 1992 1 28 0.0
11716 1992 1 29 0.0
11717 1992 1 30 0.0
11718 1992 1 31 0.0
11719 1992 2 1 0.0
11720 1992 2 2 0.0
11721 1992 2 3 0.0
11722 1992 2 4 0.0
11723 1992 2 5 19.4
11724 1992 2 6 30.4
11725 1992 2 7 0.0
11726 1992 2 8 0.0
11727 1992 2 9 0.0
11728 1992 2 10 0.0
11729 1992 2 11 0.0
11730 1992 2 12 0.0
11731 1992 2 13 0.0
11732 1992 2 14 0.0
11733 1992 2 15 0.0
11734 1992 2 16 0.0
11735 1992 2 17 0.0
11736 1992 2 18 0.0
11737 1992 2 19 0.0
11738 1992 2 20 0.0
11739 1992 2 21 0.0
11740 1992 2 22 0.0
11741 1992 2 23 3.6
11742 1992 2 24 0.0
11743 1992 2 25 0.0
11744 1992 2 26 0.0
11745 1992 2 27 0.0
11746 1992 2 28 0.0
11747 1992 2 29 0.0
11748 1992 3 1 0.0
11749 1992 3 2 0.0
11750 1992 3 3 1.0
11751 1992 3 4 17.2
11752 1992 3 5 3.6
11753 1992 3 6 0.0
11754 1992 3 7 0.5
11755 1992 3 8 26.9
11756 1992 3 9 0.0
11757 1992 3 10 0.0
11758 1992 3 11 0.2
11759 1992 3 12 3.5
11760 1992 3 13 0.6
11761 1992 3 14 8.6
11762 1992 3 15 0.0
11763 1992 3 16 0.0
11764 1992 3 17 0.0
11765 1992 3 18 14.2
11766 1992 3 19 3.3
11767 1992 3 20 0.0
11768 1992 3 21 0.0
11769 1992 3 22 0.2
11770 1992 3 23 0.0
11771 1992 3 24 0.5
11772 1992 3 25 0.0
11773 1992 3 26 7.6
11774 1992 3 27 0.0
11775 1992 3 28 0.0
11776 1992 3 29 0.0
11777 1992 3 30 0.0
11778 1992 3 31 0.0
11779 1992 4 1 0.0
11780 1992 4 2 8.9
11781 1992 4 3 0.6
11782 1992 4 4 0.0
11783 1992 4 5 0.0
11784 1992 4 6 0.0
11785 1992 4 7 1.5
11786 1992 4 8 4.5
11787 1992 4 9 0.6
11788 1992 4 10 16.5
11789 1992 4 11 13.5
11790 1992 4 12 0.0
11791 1992 4 13 31.6
11792 1992 4 14 0.0
11793 1992 4 15 0.0
11794 1992 4 16 23.9
11795 1992 4 17 0.0
11796 1992 4 18 0.0
11797 1992 4 19 0.4
11798 1992 4 20 0.0
11799 1992 4 21 0.0
11800 1992 4 22 2.7
11801 1992 4 23 17.0
